scenario,year,bonus_depreciation,straight_line_depreciation,total_depreciation,cumulative_depreciation,interest_deduction,cumulative_interest_deduction,total_deductions,cumulative_deductions,hf_stcg,re_taxable_income,total_taxable_income_no_benefit,total_taxable_income_with_benefit,tax_no_benefit,tax_with_benefit,tax_savings,cumulative_tax_savings,lp_cash_distributions,after_tax_cash_ideal,cumulative_after_tax_cash_ideal,after_tax_moic_ideal,passive_loss_generated,passive_loss_used,passive_loss_carryforward
exceptional_dynasty_outcome,4,0.0,218181.81818181818,218181.81818181818,2872727.2727272734,525000.0,2100000.0,743181.8181818181,4972727.272727273,736519.8209241601,280604.0625170619,1235305.7016230403,1017123.8834412219,457063.1096005249,376335.8368732521,80727.27272727276,506551.4431818182,98202.64278988802,178929.91551716079,838542.4978117062,0.08385424978117062,0.0,267268.7293818181,0.0
exceptional_dynasty_outcome,5,0.0,218181.81818181818,218181.81818181818,3090909.0909090918,525000.0,2625000.0,743181.8181818181,5715909.090909092,828612.0691327367,406734.483019164,1453528.3703337188,1235346.5521519007,537805.4970234759,457078.22429620323,80727.2727272727,587278.7159090908,110481.60921769822,191208.88194497093,1029751.3797566771,0.10297513797566771,0.0,0.0,0.0
exceptional_dynasty_outcome,6,0.0,218181.81818181818,218181.81818181818,3309090.90909091,525000.0,3150000.0,743181.8181818181,6459090.90909091,932158.3228222674,548404.1713271253,1698744.3123312108,1480562.4941493927,628535.395562548,547808.1228352753,80727.2727272727,668005.9886363635,124287.77637630234,205015.04910357506,1234766.4288602523,0.12347664288602522,0.0,0.0,0.0
exceptional_dynasty_outcome,7,0.0,218181.81818181818,218181.81818181818,3527272.7272727285,525000.0,3675000.0,743181.8181818181,7202272.727272728,1048578.3747081389,707527.5652346276,1974287.7581245843,1756105.9399427664,730486.4705060961,649759.1977788236,80727.27272727259,748733.2613636361,139810.4499610852,220537.72268835778,1455304.15154861,0.145530415154861,0.0,0.0,0.0
exceptional_dynasty_outcome,8,0.0,218181.81818181818,218181.81818181818,3745454.545454547,525000.0,4200000.0,743181.8181818181,7945454.545454547,1179467.628707483,886254.9612715335,2283904.4081608346,2065722.5899790165,845044.6310195088,764317.3582922361,80727.2727272727,829460.5340909088,157262.35049433107,237989.62322160378,1693293.7747702138,0.16932937747702137,0.0,0.0,0.0
exceptional_dynasty_outcome,9,0.0,218181.81818181818,218181.81818181818,3963636.363636365,525000.0,4725000.0,743181.8181818181,8688636.363636365,1326618.7906583704,1087001.5725001867,2631802.181340375,2413620.363158557,973766.8070959387,893039.5343686661,80727.27272727259,910187.8068181814,19136166.759320695,19216894.03204797,20910187.806818184,2.0910187806818183,0.0,0.0,0.0
liquidity_trap,1,2000000.0,218181.81818181818,2218181.8181818184,2218181.8181818184,525000.0,525000.0,2743181.8181818184,2743181.8181818184,425212.5,-2148181.8181818184,495212.5,-1722969.3181818184,183228.625,0.0,183228.625,183228.625,56695.0,239923.625,239923.625,0.0239923625,2148181.8181818184,425212.5,1722969.3181818184
liquidity_trap,2,0.0,218181.81818181818,218181.81818181818,2436363.6363636367,525000.0,1050000.0,743181.8181818181,3486363.6363636367,469302.0000000001,-87432.31818181806,600051.5000000002,381869.68181818206,222019.05500000008,141291.78227272735,80727.27272727274,263955.8977272727,62573.60000000001,143300.87272727274,383224.49772727274,0.03832244977272727,87432.31818181806,469302.0000000001,1341099.6363636362
liquidity_trap,3,0.0,218181.81818181818,218181.81818181818,2654545.454545455,525000.0,1575000.0,743181.8181818181,4229545.454545455,517940.3092125001,-20480.294231818116,715641.8331625,497460.014980682,264787.478270125,184060.20554285235,80727.27272727265,344683.17045454535,69058.70789500001,149785.98062227265,533010.4783495454,0.05330104783495454,20480.294231818116,517940.3092125001,843639.6213829542
liquidity_trap,4,0.0,218181.81818181818,218181.81818181818,2872727.2727272734,525000.0,2100000.0,743181.8181818181,4972727.272727273,571595.1700464713,53307.53136347694,843084.5195917664,624902.7014099483,311941.2722489536,231213.99952168087,80727.2727272727,425410.44318181806,76212.68933952952,156939.96206680223,689950.4404163476,0.06899504404163476,0.0,571595.1700464713,272044.4513364829
liquidity_trap,5,0.0,218181.81818181818,218181.81818181818,3090909.0909090918,525000.0,2625000.0,743181.8181818181,5715909.090909092,630782.3130400274,134629.09395205177,983593.2251738973,765411.4069920792,363929.493314342,283202.2205870693,80727.2727272727,506137.71590909077,84104.308405337,164831.5811326097,854782.0215489573,0.08547820215489574,0.0,272044.4513364829,0.0
liquidity_trap,6,0.0,218181.81818181818,218181.81818181818,3309090.90909091,525000.0,3150000.0,743181.8181818181,6459090.90909091,696070.3726624522,224253.58808091976,1138505.7789251902,920323.9607433719,421247.1382023204,340519.8654750476,80727.27272727276,586864.9886363635,92809.3830216603,173536.65574893306,1028318.6772978904,0.10283186772978904,0.0,0.0,0.0
liquidity_trap,7,0.0,218181.81818181818,218181.81818181818,3527272.7272727285,525000.0,3675000.0,743181.8181818181,7202272.727272728,768086.3061545994,323028.74306034547,1309296.867396763,1091115.049214945,484439.8409368023,403712.5682095296,80727.2727272727,667592.2613636362,102411.50748727993,183138.78021455265,1211457.457512443,0.1211457457512443,0.0,0.0,0.0
liquidity_trap,8,0.0,218181.81818181818,218181.81818181818,3745454.545454547,525000.0,4200000.0,743181.8181818181,7945454.545454547,847521.3668473265,431888.84136317036,1497592.026392315,1279410.208210497,554109.0497651566,473381.7770378839,80727.2727272727,748319.534090909,113002.84891297687,193730.12164024956,1405187.5791526926,0.14051875791526927,0.0,0.0,0.0
